feature,level,coefficient,abs_coefficient,favored_class
DeviceInfo__hi6210sft Build/MRA58K,,6.926252193223203,6.926252193223203,1
C11,,6.377210832037877,6.377210832037877,1
C14,,-4.767992605415416,4.767992605415416,0
C12,,-3.3153588058680583,3.3153588058680583,0
id_13__28.0,,3.0281979357672206,3.0281979357672206,1
R_emaildomain__msn.com,,-2.8186842533339043,2.8186842533339043,0
DeviceInfo__SM-A300H Build/LRX22G,,2.6307040274088176,2.6307040274088176,1
R_emaildomain__att.net,,-2.5304337720774255,2.5304337720774255,0
id_21__770.0,,2.5121043259005416,2.5121043259005416,1
R_emaildomain__verizon.net,,-2.4755088468199062,2.4755088468199062,0
DeviceInfo__SM-G930V Build/NRD90M,,-2.4289069643482346,2.4289069643482346,0
DeviceInfo__Moto G (4) Build/NPJ25.93-14.7,,-2.4232406264685418,2.4232406264685418,0
id_14__300.0,,2.347911708653468,2.347911708653468,1
id_17__225.0,,2.142744687523682,2.142744687523682,1
card3__185.0,,2.090186726052096,2.090186726052096,1
DeviceInfo__rv:11.0,,-2.076356765208921,2.076356765208921,0
C6,,-2.054292590749398,2.054292590749398,0
id_14__-600.0,,-2.053416390992378,2.053416390992378,0
id_33__2560x1440,,-2.02984404847874,2.02984404847874,0
addr2__10.0,,2.0025648079332483,2.0025648079332483,1
V332,,-2.001140770078406,2.001140770078406,0
C8,,1.8764110428528709,1.8764110428528709,1
V168,,-1.8471364055983461,1.8471364055983461,0
P_emaildomain__mail.com,,1.815617886780562,1.815617886780562,1
id_17__148.0,,1.807945348397496,1.807945348397496,1
id_21__249.0,,1.7961314926528402,1.7961314926528402,1
card3__162.0,,-1.7860814316069533,1.7860814316069533,0
id_14__-420.0,,-1.7684150074284442,1.7684150074284442,0
id_21__277.0,,-1.7520985930592499,1.7520985930592499,0
id_14__240.0,,1.7415062313655385,1.7415062313655385,1
id_25__371.0,,-1.7184896284213915,1.7184896284213915,0
id_14__-540.0,,1.7087059124703419,1.7087059124703419,1
V178,,1.692443939550712,1.692443939550712,1
R_emaildomain__hotmail.fr,,-1.6899639388422802,1.6899639388422802,0
id_14__120.0,,1.6654579021091283,1.6654579021091283,1
id_19__317.0,,-1.6467233120715965,1.6467233120715965,0
id_14__600.0,,-1.629573527345985,1.629573527345985,0
id_19____missing__,,1.6266000385159811,1.6266000385159811,1
id_25__501.0,,-1.6223133329266581,1.6223133329266581,0
id_21__596.0,,-1.6223133329266581,1.6223133329266581,0
id_17____other__,,1.6152086536409915,1.6152086536409915,1
DeviceInfo__SM-N950U Build/NMF26X,,-1.6105154134607487,1.6105154134607487,0
addr2__65.0,,1.5673329293515836,1.5673329293515836,1
id_25__463.0,,1.5575252022260297,1.5575252022260297,1
id_14__360.0,,1.5496898273154176,1.5496898273154176,1
V203,,-1.549304299075612,1.549304299075612,0
DeviceInfo__Trident/7.0,,-1.5280358432628522,1.5280358432628522,0
DeviceInfo__SM-G532M Build/MMB29T,,-1.507339368981668,1.507339368981668,0
id_17__159.0,,-1.4968798823134446,1.4968798823134446,0
R_emaildomain__icloud.com,,1.486995899461595,1.486995899461595,1
