path_before_decision,decision,parent_prediction,child_prediction,prediction_delta,child_samples,child_fraud_rate
V74 <= 0 AND D3 <= 1,M4 == __missing__,0.5936286266925547,0.3211083810983618,-0.27252024559419286,17022,0.01686053342732934
V74 <= 0,D3 <= 1,0.353982514263814,0.5936286266925547,0.23964611242874068,56519,0.05030166846547179
root,V74 > 0,0.49999999999999994,0.7079909909988095,0.20799099099880952,112009,0.08080600666017909
V74 > 0 AND C11 <= 1,V258 > 1,0.5517868776671417,0.7444798754894583,0.19269299782231653,20325,0.09554735547355474
V74 > 0,C11 > 1,0.7079909909988095,0.8838695349626358,0.1758785439638263,24575,0.21627670396744658
V74 > 0,C11 <= 1,0.7079909909988095,0.5517868776671417,-0.15620411333166773,87434,0.04272937301278679
root,V74 <= 0,0.49999999999999994,0.353982514263814,-0.14601748573618595,330896,0.019480440984478507
V74 <= 0 AND D3 > 1,M4 == __missing__,0.26846488716490263,0.14667297309215227,-0.12179191407275036,137239,0.006193574712727432
V74 > 0 AND C11 <= 1,V258 <= 1,0.5517868776671417,0.4310223150385316,-0.12076456262861013,67109,0.026732629006541598
V74 > 0 AND C11 > 1,C11 <= 2,0.8838695349626358,0.779891692722839,-0.10397784223979678,12438,0.11384466956102267
V74 <= 0 AND D3 > 1,M4 != __missing__,0.26846488716490263,0.3610234168373136,0.09255852967241096,137138,0.02007466931120477
V74 <= 0,D3 > 1,0.353982514263814,0.26846488716490263,-0.08551762709891136,274377,0.013131567150307789
V74 <= 0 AND D3 <= 1,M4 != __missing__,0.5936286266925547,0.6561568112019637,0.062528184509409,39497,0.06471377572980226
V74 > 0 AND C11 > 1,C11 > 2,0.8838695349626358,0.9288432706864975,0.04497373572386176,12137,0.32124907308231027
